Disaster_Subgroup,Disaster_Type,Disaster_Subtype,ISO,Country,Subregion,Magnitude,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,No_Injured,No_Affected,Total_Affected,Total_Damage_Adj,CPI
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,200.0,2015,4,6.0,2015,4,6.0,12.0,52.0,2761.0,2761.0,97437.0,75.55797676894446
Meteorological,Storm,Lightning/Thunderstorms,IND,India,Southern Asia,144.0,2015,4,4.0,2015,4,5.0,1.0,52.0,10000.0,10000.0,3970.0,75.55797676894446
Hydrological,Flood,Riverine flood,PAK,Pakistan,Southern Asia,29905.0,2015,2,24.0,2015,2,3.0,32.0,21.0,25450.0,20000.0,107022.0,75.55797676894446
Meteorological,Storm,Blizzard/Winter storm,CHN,China,Eastern Asia,144.0,2015,3,29.0,2015,3,31.0,12.0,52.0,5000.0,5000.0,142937.0,75.55797676894446
Meteorological,Storm,Severe weather,IND,India,Southern Asia,150.0,2015,4,21.0,2015,4,21.0,100.0,100.0,125000.0,125100.0,211758.0,75.55797676894446
Geophysical,Earthquake,Ground movement,BGD,Bangladesh,Southern Asia,7.8,2015,4,25.0,2015,4,25.0,4.0,200.0,12426.0,200.0,104477.5,75.55797676894446
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,7.8,2015,4,25.0,2015,4,25.0,29.0,383.0,200000.0,207883.0,104477.5,75.55797676894446
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,144.0,2015,4,6.0,2015,4,9.0,1.0,52.0,25000.0,25000.0,172053.0,75.55797676894446
Geophysical,Earthquake,Ground movement,NPL,Nepal,Southern Asia,7.3,2015,5,12.0,2015,5,12.0,138.0,2428.0,12426.0,2428.0,104477.5,75.55797676894446
Meteorological,Extreme temperature,Heat wave,IND,India,Southern Asia,48.0,2015,5,20.0,2015,5,31.0,2248.0,472.0,75000.0,5100.0,90654.0,75.55797676894446
